[19:13:18.383] [SEVERE ] player 1 placing token on slot 5
[19:13:18.390] [SEVERE ] key 75 was pressed by player 2
[19:13:18.391] [SEVERE ] player 2 placing token on slot 5
[19:13:18.574] [SEVERE ] key 83 was pressed by player 1
[19:13:18.575] [SEVERE ] removing player 1 token from slot 5
[19:13:18.575] [SEVERE ] key 75 was pressed by player 2
[19:13:18.575] [SEVERE ] removing player 2 token from slot 5
[19:13:18.751] [SEVERE ] key 83 was pressed by player 1
[19:13:18.752] [SEVERE ] player 1 placing token on slot 5
[19:13:18.758] [SEVERE ] key 75 was pressed by player 2
[19:13:18.759] [SEVERE ] player 2 placing token on slot 5
[19:13:18.918] [SEVERE ] key 83 was pressed by player 1
[19:13:18.919] [SEVERE ] removing player 1 token from slot 5
[19:13:18.934] [SEVERE ] key 75 was pressed by player 2
[19:13:18.934] [SEVERE ] removing player 2 token from slot 5
[19:13:19.086] [SEVERE ] key 83 was pressed by player 1
[19:13:19.087] [SEVERE ] player 1 placing token on slot 5
[19:13:19.102] [SEVERE ] key 75 was pressed by player 2
[19:13:19.103] [SEVERE ] player 2 placing token on slot 5
[19:13:19.254] [SEVERE ] key 83 was pressed by player 1
[19:13:19.255] [SEVERE ] removing player 1 token from slot 5
[19:13:19.271] [SEVERE ] key 75 was pressed by player 2
[19:13:19.272] [SEVERE ] removing player 2 token from slot 5
[19:13:19.444] [SEVERE ] key 83 was pressed by player 1
[19:13:19.459] [SEVERE ] player 1 placing token on slot 5
[19:13:19.459] [SEVERE ] key 75 was pressed by player 2
[19:13:19.460] [SEVERE ] player 2 placing token on slot 5
[19:13:19.591] [SEVERE ] key 83 was pressed by player 1
[19:13:19.592] [SEVERE ] removing player 1 token from slot 5
[19:13:19.593] [SEVERE ] key 75 was pressed by player 2
[19:13:19.593] [SEVERE ] removing player 2 token from slot 5
[19:13:20.415] [SEVERE ] key 88 was pressed by player 1
[19:13:20.416] [SEVERE ] player 1 placing token on slot 9
[19:13:20.442] [SEVERE ] key 75 was pressed by player 2
[19:13:20.443] [SEVERE ] player 2 placing token on slot 5
[19:13:24.638] [SEVERE ] key 65 was pressed by player 1
[19:13:24.639] [SEVERE ] removing player 1 token from slot 4
[19:13:25.686] [SEVERE ] key 65 was pressed by player 1
[19:13:25.686] [SEVERE ] player 1 placing token on slot 4
[19:13:27.118] [SEVERE ] key 87 was pressed by player 1
[19:13:27.798] [SEVERE ] key 87 was pressed by player 1
[19:13:28.030] [SEVERE ] key 87 was pressed by player 1
