[20:37:19.481] [INFO   ] thread bguspl.set.Main.main() starting.
[20:37:19.492] [SEVERE ] cannot read configuration file config.properties trying from resources.
[20:37:23.651] [SEVERE ] updating countdown to 17305
[20:37:23.662] [SEVERE ] updating countdown to 17294
[20:37:23.685] [SEVERE ] updating countdown to 17271
[20:37:23.696] [SEVERE ] updating countdown to 17260
[20:37:23.707] [SEVERE ] updating countdown to 17249
[20:37:23.718] [SEVERE ] updating countdown to 17238
[20:37:23.729] [SEVERE ] updating countdown to 17227
[20:37:23.744] [SEVERE ] updating countdown to 17212
[20:37:23.755] [SEVERE ] updating countdown to 17201
[20:37:23.766] [SEVERE ] updating countdown to 17190
[20:37:23.777] [SEVERE ] updating countdown to 17179
[20:37:23.788] [SEVERE ] updating countdown to 17168
[20:37:23.826] [SEVERE ] updating countdown to 17130
[20:37:23.837] [SEVERE ] updating countdown to 17119
[20:37:23.848] [SEVERE ] updating countdown to 17108
[20:37:23.880] [SEVERE ] updating countdown to 17076
[20:37:23.891] [SEVERE ] updating countdown to 17065
[20:37:23.902] [SEVERE ] updating countdown to 17054
[20:37:23.929] [SEVERE ] updating countdown to 17027
[20:37:23.940] [SEVERE ] updating countdown to 17016
[20:37:23.952] [SEVERE ] updating countdown to 17004
[20:37:23.971] [SEVERE ] updating countdown to 16985
[20:37:23.983] [SEVERE ] updating countdown to 16973
[20:37:23.994] [SEVERE ] updating countdown to 16962
[20:37:24.011] [SEVERE ] updating countdown to 16945
[20:37:24.022] [SEVERE ] updating countdown to 16934
[20:37:24.034] [SEVERE ] updating countdown to 16922
[20:37:24.045] [SEVERE ] updating countdown to 16911
[20:37:24.071] [SEVERE ] updating countdown to 16885
[20:37:24.083] [SEVERE ] updating countdown to 16873
[20:37:24.094] [SEVERE ] updating countdown to 16862
[20:37:24.176] [SEVERE ] updating countdown to 16780
[20:37:24.190] [SEVERE ] updating countdown to 16766
[20:37:24.201] [SEVERE ] updating countdown to 16755
[20:37:24.212] [SEVERE ] updating countdown to 16744
[20:37:24.223] [SEVERE ] updating countdown to 16733
[20:37:24.239] [SEVERE ] updating countdown to 16718
[20:37:24.290] [SEVERE ] updating countdown to 16666
[20:37:24.300] [SEVERE ] updating countdown to 16656
[20:37:24.311] [SEVERE ] updating countdown to 16645
[20:37:24.322] [SEVERE ] updating countdown to 16634
[20:37:24.333] [SEVERE ] updating countdown to 16623
[20:37:24.343] [SEVERE ] updating countdown to 16613
[20:37:24.354] [SEVERE ] updating countdown to 16602
[20:37:24.365] [SEVERE ] updating countdown to 16591
[20:37:24.375] [SEVERE ] updating countdown to 16581
[20:37:24.450] [SEVERE ] updating countdown to 16507
[20:37:24.460] [SEVERE ] updating countdown to 16496
[20:37:24.471] [SEVERE ] updating countdown to 16485
[20:37:24.481] [SEVERE ] updating countdown to 16475
[20:37:24.494] [SEVERE ] updating countdown to 16462
[20:37:24.513] [SEVERE ] updating countdown to 16443
[20:37:24.524] [SEVERE ] updating countdown to 16432
[20:37:24.536] [SEVERE ] updating countdown to 16420
[20:37:24.555] [SEVERE ] updating countdown to 16401
[20:37:24.566] [SEVERE ] updating countdown to 16390
[20:37:24.578] [SEVERE ] updating countdown to 16379
[20:37:24.634] [SEVERE ] updating countdown to 16322
[20:37:24.646] [SEVERE ] updating countdown to 16310
[20:37:24.657] [SEVERE ] updating countdown to 16299
[20:37:24.667] [SEVERE ] updating countdown to 16289
[20:37:24.678] [SEVERE ] updating countdown to 16278
[20:37:24.692] [SEVERE ] updating countdown to 16264
[20:37:24.703] [SEVERE ] updating countdown to 16253
[20:37:24.714] [SEVERE ] updating countdown to 16242
[20:37:24.725] [SEVERE ] updating countdown to 16232
[20:37:24.792] [SEVERE ] updating countdown to 16164
[20:37:24.804] [SEVERE ] updating countdown to 16152
[20:37:24.814] [SEVERE ] updating countdown to 16142
[20:37:24.825] [SEVERE ] updating countdown to 16131
[20:37:24.836] [SEVERE ] updating countdown to 16120
[20:37:24.847] [SEVERE ] updating countdown to 16109
[20:37:24.858] [SEVERE ] updating countdown to 16098
[20:37:24.869] [SEVERE ] updating countdown to 16087
[20:37:24.880] [SEVERE ] updating countdown to 16076
[20:37:24.892] [SEVERE ] updating countdown to 16064
[20:37:24.903] [SEVERE ] updating countdown to 16053
[20:37:24.914] [SEVERE ] updating countdown to 16042
[20:37:24.925] [SEVERE ] updating countdown to 16031
[20:37:24.936] [SEVERE ] updating countdown to 16020
[20:37:24.947] [SEVERE ] updating countdown to 16009
[20:37:24.959] [SEVERE ] updating countdown to 15998
[20:37:24.979] [SEVERE ] updating countdown to 15977
[20:37:24.990] [SEVERE ] updating countdown to 15966
[20:37:25.001] [SEVERE ] updating countdown to 15955
[20:37:25.012] [SEVERE ] updating countdown to 15944
[20:37:25.038] [SEVERE ] updating countdown to 15918
[20:37:25.049] [SEVERE ] updating countdown to 15907
[20:37:25.060] [SEVERE ] updating countdown to 15896
[20:37:25.091] [SEVERE ] updating countdown to 15865
[20:37:25.102] [SEVERE ] updating countdown to 15854
[20:37:25.114] [SEVERE ] updating countdown to 15842
[20:37:25.125] [SEVERE ] updating countdown to 15831
[20:37:25.136] [SEVERE ] updating countdown to 15820
[20:37:25.147] [SEVERE ] updating countdown to 15809
[20:37:25.163] [SEVERE ] updating countdown to 15793
[20:37:25.174] [SEVERE ] updating countdown to 15782
[20:37:25.185] [SEVERE ] updating countdown to 15771
[20:37:25.196] [SEVERE ] updating countdown to 15760
[20:37:25.207] [SEVERE ] updating countdown to 15749
[20:37:25.218] [SEVERE ] updating countdown to 15738
[20:37:25.229] [SEVERE ] updating countdown to 15727
[20:37:25.240] [SEVERE ] updating countdown to 15716
[20:37:25.251] [SEVERE ] updating countdown to 15705
[20:37:25.271] [SEVERE ] updating countdown to 15685
[20:37:25.283] [SEVERE ] updating countdown to 15673
[20:37:25.294] [SEVERE ] updating countdown to 15662
[20:37:25.304] [SEVERE ] updating countdown to 15652
[20:37:25.315] [SEVERE ] updating countdown to 15641
[20:37:25.327] [SEVERE ] updating countdown to 15629
[20:37:25.339] [SEVERE ] updating countdown to 15617
[20:37:25.351] [SEVERE ] updating countdown to 15605
[20:37:25.363] [SEVERE ] updating countdown to 15593
[20:37:25.375] [SEVERE ] updating countdown to 15582
[20:37:25.424] [SEVERE ] updating countdown to 15532
[20:37:25.437] [SEVERE ] updating countdown to 15519
[20:37:25.456] [SEVERE ] updating countdown to 15500
[20:37:25.468] [SEVERE ] updating countdown to 15488
[20:37:25.479] [SEVERE ] updating countdown to 15477
[20:37:25.491] [SEVERE ] updating countdown to 15465
[20:37:25.534] [SEVERE ] updating countdown to 15422
[20:37:25.564] [SEVERE ] updating countdown to 15392
[20:37:25.575] [SEVERE ] updating countdown to 15381
[20:37:25.587] [SEVERE ] updating countdown to 15369
[20:37:25.599] [SEVERE ] updating countdown to 15357
[20:37:25.627] [SEVERE ] updating countdown to 15329
[20:37:25.639] [SEVERE ] updating countdown to 15317
[20:37:25.651] [SEVERE ] updating countdown to 15305
